Motion,Hue
201392,41.33125
3788,118.5203125
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
27,119.989453125
0,120.0
0,120.0
0,120.0
0,120.0
18,119.99296875
0,120.0
27,119.989453125
15,119.994140625
0,120.0
419,119.836328125
0,120.0
18,119.99296875
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
21,119.991796875
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
1713,119.330859375
18,119.99296875
0,120.0
30,119.98828125
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
15,119.994140625
531,119.792578125
115,119.955078125
217,119.915234375
353,119.862109375
457,119.821484375
660,119.7421875
722,119.71796875
773,119.698046875
866,119.66171875
1023,119.600390625
0,120.0
1194,119.53359375
4051,118.417578125
1433,119.440234375
1282,119.49921875
1103,119.569140625
951,119.628515625
696,119.728125
480,119.8125
245,119.904296875
78,119.96953125
27,119.989453125
54,119.97890625
0,120.0
528,119.79375
116,119.9546875
165,119.935546875
388,119.8484375
756,119.7046875
1102,119.56953125
1487,119.419140625
2018,119.21171875
2392,119.065625
2666,118.95859375
3110,118.78515625
3350,118.69140625
3557,118.610546875
3557,118.610546875
3847,118.497265625
3953,118.455859375
4107,118.395703125
4230,118.34765625
4499,118.242578125
4482,118.24921875
4121,118.390234375
4335,118.306640625
4559,118.219140625
4690,118.16796875
4697,118.165234375
4618,118.19609375
4022,118.42890625
3838,118.50078125
3434,118.65859375
3050,118.80859375
2631,118.972265625
2266,119.11484375
1833,119.283984375
1328,119.48125
865,119.662109375
568,119.778125
350,119.86328125
141,119.944921875
15,119.994140625
0,120.0
12,119.9953125
85,119.966796875
232,119.909375
354,119.86171875
506,119.80234375
605,119.763671875
703,119.725390625
1024,119.6
1316,119.4859375
1658,119.35234375
2216,119.134375
2822,118.89765625
3249,118.730859375
3671,118.566015625
3908,118.4734375
4025,118.427734375
4173,118.369921875
4102,118.39765625
3892,118.4796875
3639,118.578515625
3000,118.828125
2751,118.925390625
2510,119.01953125
2181,119.148046875
2113,119.174609375
1815,119.291015625
1604,119.3734375
1349,119.473046875
1309,119.488671875
1058,119.58671875
994,119.61171875
953,119.627734375
776,119.696875
730,119.71484375
570,119.77734375
500,119.8046875
427,119.833203125
384,119.85
391,119.847265625
285,119.888671875
154,119.93984375
45,119.982421875
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
9,119.996484375
0,120.0
0,120.0
27,119.989453125
76,119.9703125
36,119.9859375
63,119.975390625
90,119.96484375
150,119.94140625
142,119.94453125
169,119.933984375
161,119.937109375
207,119.919140625
189,119.926171875
222,119.91328125
209,119.918359375
216,119.915625
204,119.9203125
163,119.936328125
165,119.935546875
98,119.96171875
129,119.949609375
154,119.93984375
135,119.947265625
149,119.941796875
93,119.963671875
98,119.96171875
142,119.94453125
95,119.962890625
51,119.980078125
35,119.986328125
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
9,119.996484375
0,120.0
87,119.966015625
373,119.854296875
761,119.702734375
1681,119.343359375
2559,119.000390625
3473,118.643359375
4196,118.3609375
4997,118.048046875
5681,117.780859375
6247,117.559765625
6781,117.351171875
6984,117.271875
6746,117.36484375
6205,117.576171875
5428,117.8796875
3640,118.578125
1595,119.376953125
461,119.819921875
1268,119.5046875
2611,118.980078125
3913,118.471484375
4837,118.110546875
5735,117.759765625
6520,117.453125
6981,117.273046875
7512,117.065625
8090,116.83984375
8744,116.584375
9302,116.36640625
10001,116.093359375
10151,116.034765625
11467,115.520703125
17457,113.180859375
23279,110.906640625
